2026-06-01 17:56:04,773 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=76186
2026-06-01 17:56:05,154 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=123368
2026-06-01 17:56:05,284 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=123369
2026-06-01 17:56:30,451 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=123370
2026-06-01 18:07:20,828 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=123371
2026-06-01 18:07:20,841 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=123372
2026-06-01 18:18:51,323 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=123373
2026-06-02 11:45:15,232 | INFO | soc_platform | SOC Platform API started
2026-06-02 11:48:19,640 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=chrome-browser host=DESKTOP-SU06TL9 record_number=100000002
2026-06-02 11:48:19,658 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=chrome-browser host=DESKTOP-SU06TL9 record_number=100000003
2026-06-02 11:48:19,676 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=chrome-browser host=DESKTOP-SU06TL9 record_number=100000002
2026-06-02 11:53:44,842 | INFO | soc_platform | SOC Platform API started
2026-06-02 11:55:43,852 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=chrome-browser host=DESKTOP-SU06TL9 record_number=100094879
2026-06-02 11:55:54,596 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=chrome-browser host=DESKTOP-SU06TL9 record_number=100094880
2026-06-02 12:07:01,203 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=chrome-browser host=DESKTOP-SU06TL9 record_number=100094881
2026-06-02 15:53:37,335 | INFO | soc_platform | SOC Platform API started
2026-06-02 15:58:37,212 | INFO | soc_platform | SOC Platform API started
2026-06-02 15:59:12,020 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:00:57,665 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:00:57,677 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
